Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
	yes	no	no	41	R2RN	LLHS	BB	LH	AS	RKO	RKO180629	2008	Ka'opala Bay	2018-06-29	9:25	1	3	4	1	3	16	1		Trades	RKO180629	25.5	33.2	6.68	98.4	8.09	9.73	10.60	11.20	10.51	0.070		1	0		2	1	0	
	yes	no	no	41	R2RN	LLHS	BB	LH	AS	RKV	RKV180629	2074	Kahana Village	2018-06-29	9:50	1	3	4	1	3	16	1		Trades	RKV180629	25.2	33.7	6.66	97.9	8.10	11.30	12.60	9.23	11.04	0.154		0	2		1	5	0	
	yes	no	no	42	R2RN	LLHS	BB	LH	CH	RHL	RHL180720	2001	Honolua Bay	2018-07-20	7:45	2	1	3	2	2	8	3		Trades	RHL180720	25.9	33.5	5.80	86.0	8.17	2.02	2.91	1.73	2.22	0.277		0	1		8	10	0	no rain in last 24 hours, stream flowing, major clearing of path to Honolua Bay
	yes	no	no	42	R2RN	LLHS	BB	LH	CH	RON	RON180720	2004	Oneloa Bay	2018-07-20	8:45	2	1	3	2	2	8	3		Trades	RON180720	26.4	34.3	6.67	100.2	8.25	0.93	0.90	0.93	0.92	0.019		1	3		1	1	0	no rain in last 24 hours
	yes	no	no	42	R2RN	LLHS	BB	LH	CH	RFS	RFS180720	2005	Kapalua Bay	2018-07-20	9:15	2	1	3	2	2	8	3		Trades	RFS180720	26.8	33.5	6.49	97.9	8.18	2.55	2.27	2.20	2.34	0.079		0	0		20	45	0	no rain in last 24 hours
	yes	no	no	42	R2RN	LLHS	BB	LH	CH	RKO	RKO180720	2008	Ka'opala Bay	2018-07-20											RKO180720																		road blocked by workers, tree-trimminig or road work, no access to sample site
	yes	no	no	42	R2RN	LLHS	BB	LH	CH	RKV	RKV180720	2074	Kahana Village	2018-07-20	9:50	2	1	3	2	2	8	3		Trades	RKV180720	27.1	33.8	6.60	100.1	8.16	18.60	18.60	16.60	17.93	0.064		0	0		0	0	0	no rain in last 24 hours
	yes	no	no	43	R2RN	LLHS	AS	LO	DR	RHL	RHL180810	2001	Honolua Bay	2018-08-10	7:59	1	3	5	1	3	28	3	1	Trades	RHL180810	24.9	19.2	6.97	94.0	8.20	18.50	18.10	19.50	18.70	0.039		1	1	4	0	2	0	heavy rains the last 2 days from Hurricane Hector passing ~150 miles south
	yes	no	no	43	R2RN	LLHS	AS	LO	DR	RON	RON180810	2004	Oneloa Bay	2018-08-10	8:40	1	3	5	1	3	28	6	1	Trades	RON180810	26.4	34.2	6.79	102.2	8.20	0.97	0.81	0.77	0.85	0.125		1	4		1	2	0	heavy rains the last 2 days from Hurricane Hector passing ~150 miles south
	yes	no	no	43	R2RN	LLHS	AS	LO	DR	RFS	RFS180810	2005	Kapalua Bay	2018-08-10	9:42	1	3	5	1	3	28	4	1	Trades	RFS180810	26.6	32.2	7.07	105.8	8.16	10.60	10.50	9.94	10.35	0.034		0	1		31	50	0	heavy rains the last 2 days from Hurricane Hector passing ~150 miles south
	yes	no	no	43	R2RN	LLHS	AS	LO	DR	RKO	RKO180810	2008	Ka'opala Bay	2018-08-10	10:13	1	3	5	1	3	28	4	0	Trades	RKO180810	27.1	32.8	6.65	100.5	8.11	16.00	17.10	18.10	17.07	0.062		1	0	0	0	2	0	heavy rains the last 2 days from Hurricane Hector passing ~150 miles south, 2 fishermen on the beach reported wastewater smell at north end of beach
	yes	no	no	43	R2RN	LLHS	AS	LO	DR	RKV	RKV180810	2074	Kahana Village	2018-08-10	10:38	1	3	5	1	3	28	7	0	Trades	RKV180810	27.4	33.9	7.09	108.4	8.20	20.30	19.10	17.50	18.97	0.074		0	0		6	11	0	heavy rains the last 2 days from Hurricane Hector passing ~150 miles south, large particles present in water
