Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+		
yes	yes	yes	no	yes	38	R2RN	LLHS	BB	CH	LH	RHL	RHL180427	2001	Honolua Bay	2018-04-27	7:55	2	1	3	2	2	12	8	0	Trades	RHL180427	24.1	31.3	6.47	92.0	8.14	24.80	25.70	23.50	24.67	0.045		0	1		0	1	0	rained in last 24 hours, walk to sample site was muddy, but no rain when sampling, stream flowing into ocean at RHL	
yes	yes	yes	no	no	38	R2RN	LLHS	BB	CH	LH	RFN	RFN180427	2003	Fleming North	2018-04-27	8:30	2	1	3	2	2	12	8	0	Trades	RFN180427	24.7	34.1	6.89	100.5	8.16	1.19	1.35	1.23	1.26	0.066		1	0		0	2	0	rained in last 24 hours, but no rain when sampling, stream not flowing into ocean at RFN	
yes	yes	yes	no	no	38	R2RN	LLHS	BB	CH	LH	RON	RON180427	2004	Oneloa Bay	2018-04-27	9:00	2	1	3	2	2	12	8	0	Trades	RON180427	24.9	34.1	6.92	101.4	8.16	0.66	0.46	0.53	0.55	0.185		2	1		3	3	0	rained in last 24 hours, but no rain when sampling	
yes	yes	yes	no	no	38	R2RN	LLHS	BB	CH	LH	RFS	RFS180427	2005	Kapalua Bay	2018-04-27	9:25	2	1	3	2	2	12	8	0	Trades	RFS180427	24.9	31.1	6.52	93.9	8.05	1.75	0.85	1.64	1.41	0.347		0	0		16	9	0	rained in last 24 hours, but no rain when sampling	
yes	yes	yes	no	no	38	R2RN	LLHS	BB	CH	LH	RKO	RKO180427	2008	Ka'opala Bay	2018-04-27	9:52	2	1	3	2	2	12	8	0	Trades	RKO180427	25.0	32.4	6.55	95.1	8.10	5.40	4.98	4.84	5.07	0.057		0	0		6	3	0	rained in last 24 hours, but no rain when sampling,  1 fisherman with 2 poles here at RKO	
yes	yes	yes	no	no	38	R2RN	LLHS	BB	CH	LH	RKV	RKV180427	2074	Kahana Village	2018-04-27	10:10	2	1	3	2	2	12	8	0	Trades	RKV180427	25.4	32.3	6.72	98.0	8.15	3.49	2.97	3.70	3.39	0.111		0	0		0	3	0	rained in last 24 hours, but no rain when sampling	
yes	yes	yes	no	yes	39	R2RN	LLHS	BB	LH	CM	RHL	RHL180518	2001	Honolua Bay	2018-05-18	8:05	1	3	4	1	3	4	6	1	Trades	RHL180518	25.3	33.6	6.22	91.2	8.13	7.08	7.20	7.49	7.26	0.029		0	2	2	5	9	0	rained in last 24 hours, rain sprinkles while there	
yes	yes	yes	no	no	39	R2RN	LLHS	BB	LH	CM	RFN	RFN180518	2003	Fleming North	2018-05-18	8:40	1	3	4	1	3	4	5		Trades	RFN180518	25.3	33.8	6.83	100.3	8.19	0.72	0.72	0.69	0.71	0.024		2	4		0	2	0	rained in last 24 hours, streams not flowing	
yes	yes	yes	no	no	39	R2RN	LLHS	BB	LH	CM	RON	RON180518	2004	Oneloa Bay	2018-05-18	9:11	1	3	4	1	3	4	4		Trades	RON180518	25.7	34.3	7.09	105.3	8.22	0.41	0.37	0.34	0.37	0.094		2	4		0	8	0	rained in last 24 hours, 2 dogs on beach	
yes	yes	yes	no	no	39	R2RN	LLHS	BB	LH	CM	RFS	RFS180518	2005	Kapalua Bay	2018-05-18	9:37	1	3	4	1	3	4	4		Trades	RFS180518	26.5	31.7	6.59	97.8	8.07	1.09	1.16	1.07	1.11	0.043		0	3		50	80	0	rained in last 24 hours	
yes	yes	yes	no	no	39	R2RN	LLHS	BB	LH	CM	RKO	RKO180518	2008	Ka'opala Bay	2018-05-18	10:04	1	3	4	1	3	4	2		Trades	RKO180518	26.4	33.6	6.72	100.6	8.17	4.70	5.02	4.68	4.80	0.040		0	0		0	3	0	rained in last 24 hours, no water flowing out pipe	
yes	yes	yes	no	no	39	R2RN	LLHS	BB	LH	CM	RKV	RKV180518	2074	Kahana Village	2018-05-18	10:23	1	3	4	1	3	4	2		Trades	RKV180518	26.4	33.5	6.52	97.5	8.16	1.73	2.27	1.99	2.00	0.135		0	1		1	4	0	rained in last 24 hours	
yes	yes	yes	no	no	40	R2RN	LLHS	BB	CH	CM	RHL	RHL180608	2001	Honolua Bay	2018-06-08	7:51	2	1	3	2	2	25	1	1	Trades	RHL180608	25.1	31.8	6.37	92.0	8.07	15.50	14.80	15.20	15.17	0.023		0	1	1	0	1	0	not sure about rain in last 24 hours, but sprinkles while there	
yes	yes	yes	no	no	40	R2RN	LLHS	BB	CH	CM	RFN	RFN180608	2003	Fleming North	2018-06-08	8:30	2	1	3	2	2	25	0		Trades	RFN180608	25.6	33.8	6.80	100.2	8.10	6.07	6.69	6.11	6.29	0.055		1	1	0	2	4	0	not sure about rain in last 24 hours	
yes	yes	yes	no	no	40	R2RN	LLHS	BB	CH	CM	RON	RON180608	2004	Oneloa Bay	2018-06-08	9:00	2	1	3	2	2	25	4	1	Trades	RON180608	25.6	34.3	6.81	100.7	8.11	0.37	0.36	0.35	0.36	0.028		2	3		0	0	0	not sure about rain in last 24 hours, but sprinkles while there, turtle came onto beach while there	
yes	yes	yes	no	no	40	R2RN	LLHS	BB	CH	CM	RFS	RFS180608	2005	Kapalua Bay	2018-06-08	9:35	2	1	3	2	2	25			Trades	RFS180608	26.1	32.5	6.78	99.9	8.03	2.05	2.01	1.63	1.90	0.122		0	1		18	26	0	not sure about rain in last 24 hours, guard reported DOH tested there the day before, turbidity tested a 4th time for value '2.10'	
yes	yes	yes	no	no	40	R2RN	LLHS	BB	CH	CM	RKO	RKO180608	2008	Ka'opala Bay	2018-06-08	9:56	2	1	3	2	2	25	5	1	Trades	RKO180608	26.0	33.1	6.61	97.5	8.04	16.10	17.70	18.50	17.43	0.070		1	0	0	0	3	0	not sure about rain in last 24 hours, but sprinkles while there, dog on beach and in water while there	
yes	yes	yes	no	no	40	R2RN	LLHS	BB	CH	CM	RKV	RKV180608	2074	Kahana Village	2018-06-08	10:18	2	1	3	2	2	25			Trades	RKV180608	26.3	33.7	6.67	99.2	8.08	15.00	17.20	18.60	16.93	0.107		0	1		1	2	0	not sure about rain in last 24 hours, large slow-settling particles in turbitiy sample, turbidity tested a 4th time for value '17.9' 	
yes	yes	yes	no	no	41	R2RN	LLHS	BB	LH	AS	RHL	RHL180629	2001	Honolua Bay	2018-06-29	7:40	1	3	4	1	3	16	1		Trades	RHL180629	25.1	33.1	6.11	89.4	8.16	2.30	2.05	2.06	2.14	0.066		0	1	2	0	3	0	Shark warning sign posted	
yes	yes	yes	no	no	41	R2RN	LLHS	BB	LH	AS	RON	RON180629	2004	Oneloa Bay	2018-06-29	8:30	1	3	4	1	3	16	1		Trades	RON180629	25.2	34.4	6.97	103.0	8.19	0.41	0.38	0.40	0.40	0.039		3	4		0	2	0		
yes	yes	yes	no	no	41	R2RN	LLHS	BB	LH	AS	RFS	RFS180629	2005	Kapalua Bay	2018-06-29	9:00	1	3	4	1	3	16	1		Trades	RFS180629	25.4	31.9	6.86	100.2	8.11	4.47	3.68	3.32	3.82	0.154		0	2		24	35	0		
yes	yes	yes	no	no	41	R2RN	LLHS	BB	LH	AS	RKO	RKO180629	2008	Ka'opala Bay	2018-06-29	9:25	1	3	4	1	3	16	1		Trades	RKO180629	25.5	33.2	6.68	98.4	8.09	9.73	10.60	11.20	10.51	0.070		1	0		2	1	0		
yes	yes	yes	no	no	41	R2RN	LLHS	BB	LH	AS	RKV	RKV180629	2074	Kahana Village	2018-06-29	9:50	1	3	4	1	3	16	1		Trades	RKV180629	25.2	33.7	6.66	97.9	8.10	11.30	12.60	9.23	11.04	0.154		0	2		1	5	0		
yes	yes	yes	no	no	42	R2RN	LLHS	BB	LH	CH	RHL	RHL180720	2001	Honolua Bay	2018-07-20	7:45	2	1	3	2	2	8	3		Trades	RHL180720	25.9	33.5	5.80	86.0	8.17	2.02	2.91	1.73	2.22	0.277		0	1		8	10	0	no rain in last 24 hours, stream flowing, major clearing of path to Honolua Bay	
yes	yes	yes	no	no	42	R2RN	LLHS	BB	LH	CH	RON	RON180720	2004	Oneloa Bay	2018-07-20	8:45	2	1	3	2	2	8	3		Trades	RON180720	26.4	34.3	6.67	100.2	8.25	0.93	0.90	0.93	0.92	0.019		1	3		1	1	0	no rain in last 24 hours	
yes	yes	yes	no	no	42	R2RN	LLHS	BB	LH	CH	RFS	RFS180720	2005	Kapalua Bay	2018-07-20	9:15	2	1	3	2	2	8	3		Trades	RFS180720	26.8	33.5	6.49	97.9	8.18	2.55	2.27	2.20	2.34	0.079		0	0		20	45	0	no rain in last 24 hours	
yes	yes	yes	no	no	42	R2RN	LLHS	BB	LH	CH	RKO	RKO180720	2008	Ka'opala Bay	2018-07-20											RKO180720																		road blocked by workers, tree-trimminig or road work, no access to sample site	
yes	yes	yes	no	no	42	R2RN	LLHS	BB	LH	CH	RKV	RKV180720	2074	Kahana Village	2018-07-20	9:50	2	1	3	2	2	8	3		Trades	RKV180720	27.1	33.8	6.60	100.1	8.16	18.60	18.60	16.60	17.93	0.064		0	0		0	0	0	no rain in last 24 hours	
yes	yes	yes	no	no	43	R2RN	LLHS	AS	LO	DR	RHL	RHL180810	2001	Honolua Bay	2018-08-10	7:59	1	3	5	1	3	28	3	1	Trades	RHL180810	24.9	19.2	6.97	94.0	8.20	18.50	18.10	19.50	18.70	0.039		1	1	4	0	2	0	heavy rains the last 2 days from Hurricane Hector passing ~150 miles south	
yes	yes	yes	no	no	43	R2RN	LLHS	AS	LO	DR	RON	RON180810	2004	Oneloa Bay	2018-08-10	8:40	1	3	5	1	3	28	6	1	Trades	RON180810	26.4	34.2	6.79	102.2	8.20	0.97	0.81	0.77	0.85	0.125		1	4		1	2	0	heavy rains the last 2 days from Hurricane Hector passing ~150 miles south	
yes	yes	yes	no	no	43	R2RN	LLHS	AS	LO	DR	RFS	RFS180810	2005	Kapalua Bay	2018-08-10	9:42	1	3	5	1	3	28	4	1	Trades	RFS180810	26.6	32.2	7.07	105.8	8.16	10.60	10.50	9.94	10.35	0.034		0	1		31	50	0	heavy rains the last 2 days from Hurricane Hector passing ~150 miles south	
yes	yes	yes	no	no	43	R2RN	LLHS	AS	LO	DR	RKO	RKO180810	2008	Ka'opala Bay	2018-08-10	10:13	1	3	5	1	3	28	4	0	Trades	RKO180810	27.1	32.8	6.65	100.5	8.11	16.00	17.10	18.10	17.07	0.062		1	0	0	0	2	0	heavy rains the last 2 days from Hurricane Hector passing ~150 miles south, 2 fishermen on the beach reported wastewater smell at north end of beach	
yes	yes	yes	no	no	43	R2RN	LLHS	AS	LO	DR	RKV	RKV180810	2074	Kahana Village	2018-08-10	10:38	1	3	5	1	3	28	7	0	Trades	RKV180810	27.4	33.9	7.09	108.4	8.20	20.30	19.10	17.50	18.97	0.074		0	0		6	11	0	heavy rains the last 2 days from Hurricane Hector passing ~150 miles south, large particles present in water	
yes	yes	yes	no	no	44	R2RN	LLHS	LH	CH	JS	RHL	RHL180831	2001	Honolua Bay	2018-08-31	7:50	2	1	6	2	2	21	7	1	Trades	RHL180831	25.3	33.5	6.30	92.9	8.15	2.50	2.58	2.61	2.56	0.022		0	0		2	0	0	it rained in the last 24 hours, stream was flowing but no indication how much	
yes	yes	yes	no	no	44	R2RN	LLHS	LH	CH	JS	RON	RON180831	2004	Oneloa Bay	2018-08-31	8:25	2	1	6	2	2	21		1	Trades	RON180831	25.9	34.3	6.72	100.5	8.20	0.78	0.71	0.73	0.74	0.049		2	3		2	2	0	it rained in the last 24 hours	
yes	yes	yes	no	no	44	R2RN	LLHS	LH	CH	JS	RFS	RFS180831	2005	Kapalua Bay	2018-08-31	8:50	2	1	6	2	2	21		1	Trades	RFS180831	26.6	32.5	6.47	96.9	8.13	1.28	1.53	1.43	1.41	0.089		0	1		10	18	0	it rained in the last 24 hours	
yes	yes	yes	no	no	44	R2RN	LLHS	LH	CH	JS	RKO	RKO180831	2008	Ka'opala Bay	2018-08-31	9:35	2	1	6	2	2	21		0	Trades	RKO180831	26.7	33.9	6.26	94.6	8.14	6.85	7.05	7.24	7.05	0.028		0	0		0	2	0	it rained in the last 24 hours	
yes	yes	yes	no	no	44	R2RN	LLHS	LH	CH	JS	RKV	RKV180831	2074	Kahana Village	2018-08-31	9:50	2	1	6	2	2	21		0	Trades	RKV180831	26.8	33.8	6.21	94.1	8.13	13.50	15.20	14.40	14.37	0.059		0	1		0	0	0	it rained in the last 24 hours	
yes	yes	yes	no	no	45	R2RN	LLHS	BB	CH	CM	RHL	RHL180921	2001	Honolua Bay	2018-09-21	7:53	1	3	5	1	3	12	0	0	Trades	RHL180921	26.5	33.8	5.73	86.4	8.12	20.60	19.90	19.90	20.13	0.020		0	0	1	0	5	0	not sure about rain in the last 24 hours	
yes	yes	yes	no	no	45	R2RN	LLHS	BB	CH	CM	RON	RON180921	2004	Oneloa Bay	2018-09-21	8:41	1	3	5	1	3	12	0	0	Trades	RON180921	26.9	34.5	6.58	100.5	8.20	1.05	1.06	1.14	1.08	0.046		1	2		1	0	0	not sure about rain in the last 24 hours	
yes	yes	yes	no	no	45	R2RN	LLHS	BB	CH	CM	RFS	RFS180921	2005	Kapalua Bay	2018-09-21	9:14	1	3	5	1	3	12	0	0	Trades	RFS180921	27.1	32.8	6.44	97.6	8.09	5.71	3.09	2.94	3.91	0.398		0	0		15	35	0	not sure about rain in the last 24 hours	
yes	yes	yes	no	no	45	R2RN	LLHS	BB	CH	CM	RKO	RKO180921	2008	Ka'opala Bay	2018-09-21	9:43	1	3	5	1	3	12	0	0	Trades	RKO180921	27.4	33.9	5.88	90.1	8.11	29.10	30.40	29.70	29.73	0.022		0	0	0	0	0	0	not sure about rain in the last 24 hours	
yes	yes	yes	no	no	45	R2RN	LLHS	BB	CH	CM	RKV	RKV180921	2074	Kahana Village	2018-09-21	10:05	1	3	5	1	3	12	0	0	Trades	RKV180921	27.7	33.6	6.34	97.4	8.16	82.10	72.20	76.10	76.80	0.065		0	1		0	0	0	not sure about rain in the last 24 hours, did not check stream flow, brown water way out into ocean, KV manager anecdote is that the residual brown water is from the tropical storm	
yes	yes	yes	no	no	46	R2RN	LLHS	BB	CH	LH	RHL	RHL181012	2001	Honolua Bay	2018-10-12	7:50	2	1	6	2	2					RHL181012	26.5	32.1	6.44	96.0	8.21	3.58	3.18	3.50	3.42	0.062					1	0	0	stream was flowing	
yes	yes	yes	no	no	46	R2RN	LLHS	BB	CH	LH	RON	RON181012	2004	Oneloa Bay	2018-10-12	8:30	2	1	6	2	2					RON181012	27.2	34.4	6.63	101.6	8.21	0.94	0.78	0.83	0.85	0.096					1	5	0	no stream flow	
yes	yes	yes	no	no	46	R2RN	LLHS	BB	CH	LH	RFS	RFS181012	2005	Kapalua Bay	2018-10-12	9:00	2	1	6	2	2					RFS181012	27.8	33.7	6.60	101.6	8.14	2.01	2.47	2.35	2.28	0.105					8	9	0	no stream flow	
yes	yes	yes	no	no	46	R2RN	LLHS	BB	CH	LH	RKO	RKO181012	2008	Ka'opala Bay	2018-10-12	9:30	2	1	6	2	2					RKO181012	27.3	33.8	6.47	98.8	8.14	17.30	17.60	18.20	17.70	0.026					0	0	0	no stream flow	
yes	yes	yes	no	no	46	R2RN	LLHS	BB	CH	LH	RKV	RKV181012	2074	Kahana Village	2018-10-12	9:55	2	1	6	2	2					RKV181012	27.8	33.6	6.46	99.3	8.15	41.50	48.60	50.90	47.00	0.104					0	6	0	no stream flow, brown water	
yes	yes	yes	no	no	47	R2RN	LLHS	BB	CH	LH	RHL	RHL181102	2001	Honolua Bay	2018-11-02	7:50	1	3	5	1	3					RHL181102	26.1	33.5	5.79	86.1	8.12	32.60	32.10	33.80	32.83	0.027					0	0	0	brown water, debris, stream was flowing	
yes	yes	yes	no	no	47	R2RN	LLHS	BB	CH	LH	RON	RON181102	2004	Oneloa Bay	2018-11-02	8:30	1	3	5	1	3					RON181102	26.5	34.4	6.71	101.3	8.21	0.55	0.49	0.53	0.52	0.058					5	6	0	no stream flow	
yes	yes	yes	no	no	47	R2RN	LLHS	BB	CH	LH	RFS	RFS181102	2005	Kapalua Bay	2018-11-02	9:00	1	3	5	1	3					RFS181102	27.5	34.0	6.16	94.1	8.16	0.83	0.90	0.92	0.88	0.053					12	34	0	super calm, no waves	
yes	yes	yes	no	no	47	R2RN	LLHS	BB	CH	LH	RKO	RKO181102	2008	Ka'opala Bay	2018-11-02	9:25	1	3	5	1	3					RKO181102	27.0	33.7	6.47	97.8	8.18	14.60	14.70	14.10	14.47	0.022					0	0	0	no stream flow, after filtering first sample, took second sample to filter as first sample was spilled	
yes	yes	yes	no	no	47	R2RN	LLHS	BB	CH	LH	RKV	RKV181102	2074	Kahana Village	2018-11-02	9:50	1	3	5	1	3					RKV181102	27.2	33.9	6.36	96.9	8.15	25.20	21.90	24.80	23.97	0.075					2	9	0		
yes	yes	yes	no	no	48	R2RN	LLHS	BB	CH	LH	RHL	RHL181130	2001	Honolua Bay	2018-11-30	7:50	2	1	6	2	2					RHL181130	23.8	34.2	5.96	85.6	8.15	2.45	2.19	2.34	2.33	0.056				0	0	3	0		
yes	yes	yes	no	no	48	R2RN	LLHS	BB	CH	LH	RON	RON181130	2004	Oneloa Bay	2018-11-30	8:40	2	1	6	2	2					RON181130	25.6	34.9	6.70	99.9	8.20	0.79	0.71	0.71	0.74	0.063					2	3	0		
yes	yes	yes	no	no	48	R2RN	LLHS	BB	CH	LH	RFS	RFS181130	2005	Kapalua Bay	2018-11-30	9:05	2	1	6	2	2					RFS181130	26.0	34.6	6.37	95.4	8.17	0.84	0.88	0.90	0.87	0.035					10	16	0		
yes	yes	yes	no	no	48	R2RN	LLHS	BB	CH	LH	RKO	RKO181130	2008	Ka'opala Bay	2018-11-30	9:30	2	1	6	2	2					RKO181130	25.6	34.1	5.95	88.6	8.14	4.20	4.25	4.18	4.21	0.009				0	0	0	0		
yes	yes	yes	no	no	48	R2RN	LLHS	BB	CH	LH	RKV	RKV181130	2074	Kahana Village	2018-11-30	9:50	2	1	6	2	2					RKV181130	26.2	34.3	6.47	96.8	8.16	10.40	9.51	10.30	10.07	0.048					0	7	0		
yes	yes	yes	no	no	49	R2RN	LLHS	BB	EG	LH	RHL	RHL181214	2001	Honolua Bay	2018-12-14	7:50	1	3	5	1	3					RHL181214	23.6	33.8	6.49	92.5	8.12	62.40	68.30	72.40	67.70	0.074				1	0	0	0	RHL - note: CM also went out and saw stream flow and rated here	
yes	yes	yes	no	no	49	R2RN	LLHS	BB	EG	LH	RON	RON181214	2004	Oneloa Bay	2018-12-14	8:40	1	3	5	1	3					RON181214	23.9	34.7	6.89	99.4	8.19	0.75	0.72	0.77	0.75	0.034					2	8	0		
yes	yes	yes	no	no	49	R2RN	LLHS	BB	EG	LH	RFS	RFS181214	2005	Kapalua Bay	2018-12-14	9:05	1	3	5	1	3					RFS181214	24.3	34.2	6.88	99.5	8.16	1.46	1.33	1.25	1.35	0.079					10	10	0		
yes	yes	yes	no	no	49	R2RN	LLHS	BB	EG	LH	RKO	RKO181214	2008	Ka'opala Bay	2018-12-14	9:35	1	3	5	1	3					RKO181214	23.7	34.1	6.78	96.9	8.14	6.17	6.53	6.25	6.32	0.030					0	1	0		
yes	yes	yes	no	no	49	R2RN	LLHS	BB	EG	LH	RKV	RKV181214	2074	Kahana Village	2018-12-14	9:57	1	3	5	1	3					RKV181214	23.6	33.9	6.99	99.6	8.15	16.90	16.60	17.00	16.83	0.012					0	1	0		
yes	yes	yes	no	no	50	R2RN	LLHS	BB	CC	LH	RHL	RHL190111	2001	Honolua Bay	2019-01-11	7:45	2	3	6	2	2					RHL190111	22.5	33.0	6.70	93.2	8.11	100.00	101.00	99.70	100.23	0.007					0	0	0	RHL - surf breaking outside	
yes	yes	yes	no	no	50	R2RN	LLHS	BB	CC	LH	RON	RON190111	2004	Oneloa Bay	2019-01-11	8:35	2	3	6	2	2					RON190111	24.0	34.8	6.93	99.9	8.18	1.46	1.58	1.57	1.54	0.043					0	7	0	RON - big  surf	
yes	yes	yes	no	no	50	R2RN	LLHS	BB	CC	LH	RFS	RFS190111	2005	Kapalua Bay	2019-01-11	9:05	2	3	6	2	2					RFS190111	24.4	34.6	6.87	99.9	8.16	3.45	3.97	3.27	3.56	0.102					10	30	0		
yes	yes	yes	no	no	50	R2RN	LLHS	BB	CC	LH	RKO	RKO190111	2008	Ka'opala Bay	2019-01-11	9:30	2	3	6	2	2					RKO190111	24.0	34.3	6.95	99.8	8.14	15.00	15.60	15.40	15.33	0.020					0	1	0		
yes	yes	yes	no	no	50	R2RN	LLHS	BB	CC	LH	RKV	RKV190111	2074	Kahana Village	2019-01-11	9:55	2	3	6	2	2					RKV190111	24.6	34.6	6.93	100.9	8.21	9.57	9.95	10.01	9.84	0.024					0	2	0		
yes	yes	yes	no	no	51	R2RN	LLHS	BB	CC	LH	RHL	RHL190201	2001	Honolua Bay	2019-02-01	7:50	1	1	5	1	3					RHL190201	22.1	25.3	7.22	95.8	8.18	110.00	104.00	107.00	107.00	0.028					0	0	0	RHL - Bruce needed to remove filter to remove mostly leaves during process of filtering	
yes	yes	yes	no	no	51	R2RN	LLHS	BB	CC	LH	RON	RON190201	2004	Oneloa Bay	2019-02-01	8:40	1	1	5	1	3					RON190201	23.5	34.8	7.00	100.9	8.21	1.59	1.74	1.45	1.59	0.091					0	10	0		
yes	yes	yes	no	no	51	R2RN	LLHS	BB	CC	LH	RFS	RFS190201	2005	Kapalua Bay	2019-02-01	9:15	1	1	5	1	3					RFS190201	24.1	34.2	7.16	103.7	8.21	5.05	5.55	5.25	5.28	0.048					0	32	0		
yes	yes	yes	no	no	51	R2RN	LLHS	BB	CC	LH	RKO	RKO190201	2008	Ka'opala Bay	2019-02-01	9:40	1	1	5	1	3					RKO190201	23.3	33.1	7.06	100.2	8.17	24.60	24.90	24.50	24.67	0.008					0	0	0		
yes	yes	yes	no	no	51	R2RN	LLHS	BB	CC	LH	RKV	RKV190201	2074	Kahana Village	2019-02-01	10:05	1	1	5	1	3					RKV190201	23.7	33.7	7.07	101.3	8.21	18.80	19.20	20.10	19.37	0.034					2	4	0		
yes	yes	yes	no	no	52	R2RN	LLHS	LH	CM	JS	RHL	RHL190222	2001	Honolua Bay	2019-02-22	7:55	2	3	6	2	2					RHL190222	22.4	33.6	6.59	92.1	8.16	14.40	13.10	12.40	13.30	0.076				1	0	2	0		
yes	yes	yes	no	no	52	R2RN	LLHS	LH	CM	JS	RON	RON190222	2004	Oneloa Bay	2019-02-22	8:40	2	3	6	2	2					RON190222	23.5	34.8	7.03	101.1	8.21	0.82	0.82	0.81	0.82	0.007					0	1	0		
yes	yes	yes	no	no	52	R2RN	LLHS	LH	CM	EG	RFS	RFS190222	2005	Kapalua Bay	2019-02-22	9:05	2	3	6	2	2					RFS190222	23.9	33.0	6.96	99.5	8.16	0.68	0.64	0.83	0.72	0.140					12	24	0		
yes	yes	yes	no	no	52	R2RN	LLHS	LH	CM	EG	RKO	RKO190222	2008	Ka'opala Bay	2019-02-22	9:37	2	3	6	2	2					RKO190222	23.8	34.2	6.57	94.5	8.16	5.42	5.22	5.52	5.39	0.028				0	0	1	0		
yes	yes	yes	no	no	52	R2RN	LLHS	LH	CM	EG	RKV	RKV190222	2074	Kahana Village	2019-02-22	10:00	2	3	6	2	2					RKV190222	24.3	33.6	6.43	92.9	8.16	2.75	3.15	3.30	3.07	0.093					1	4	0		
yes	yes	yes	no	no	53	R2RN	LLHS	LH	BB	CM	RHL	RHL190315	2001	Honolua Bay	2019-03-15	7:50	1	3	5	1	3					RHL190315	22.8	31.1	6.71	92.9	8.15	20.90	16.10	25.50	20.83	0.226				1	0	0	0	RHL - stream was flowing, plant debris in the water, turbidity settled in 1 min to 8.31, no Sonde measurement	
yes	yes	yes	no	no	53	R2RN	LLHS	LH	BB	CM	RON	RON190315	2004	Oneloa Bay	2019-03-15	8:50	1	3	5	1	3					RON190315	23.7	35.7	6.99	101.2	8.17	0.48	0.42	0.47	0.46	0.070					4	2	0	Sonde measusrements taken by Mark Deakos/Jim Maxwell	
yes	yes	yes	no	no	53	R2RN	LLHS	LH	BB	CM	RFS	RFS190315	2005	Kapalua Bay	2019-03-15	9:26	1	3	5	1	3					RFS190315	24.4	33.8	6.84	99.1	8.12	1.85	1.51	1.63	1.66	0.104					15	50	0	Sonde measusrements taken by Mark Deakos/Jim Maxwell	
yes	yes	yes	no	no	53	R2RN	LLHS	LH	BB	CM	RKO	RKO190315	2008	Ka'opala Bay	2019-03-15	9:50	1	3	5	1	3					RKO190315	24.1	34.8	6.80	98.7	8.16	5.57	5.57	5.45	5.53	0.013				0	2	5	0	Sonde measusrements taken by Mark Deakos/Jim Maxwell	
yes	yes	yes	no	no	53	R2RN	LLHS	LH	BB	CM	RKV	RKV190315	2074	Kahana Village	2019-03-15	10:15	1	3	5	1	3					RKV190315	24.5	34.5	7.06	102.9	8.19	8.65	8.71	8.67	8.68	0.004					2	8	0	Sonde measusrements taken by Mark Deakos/Jim Maxwell	
yes	yes	yes	no	no	54	R2RN	LLHS	LH	BB	CH	RHL	RHL190405	2001	Honolua Bay	2019-04-05	7:45	1	3	5	1	3					RHL190405	23.0	34.0	6.57	92.9	8.13	13.90	17.00	15.70	15.53	0.100					1	0	0		
yes	yes	yes	no	no	54	R2RN	LLHS	LH	BB	CH	RON	RON190405	2004	Oneloa Bay	2019-04-05	8:30	1	3	5	1	3					RON190405	24.4	35.9	6.86	100.5	8.22	0.25	0.23	0.23	0.24	0.049					2	11	0		
yes	yes	yes	no	no	54	R2RN	LLHS	LH	BB	CH	RFS	RFS190405	2005	Kapalua Bay	2019-04-05	9:00	1	3	5	1	3					RFS190405	24.4	32.9	6.68	96.2	8.11	0.93	1.08	1.01	1.01	0.075					19	40	0		
yes	yes	yes	no	no	54	R2RN	LLHS	LH	BB	CH	RKO	RKO190405	2008	Ka'opala Bay	2019-04-05	9:30	1	3	5	1	3					RKO190405	24.2	34.7	6.69	97.1	8.15	4.26	4.41	4.14	4.27	0.032					0	6	0		
yes	yes	yes	no	no	54	R2RN	LLHS	LH	BB	CH	RKV	RKV190405	2074	Kahana Village	2019-04-05	9:50	1	3	5	1	3					RKV190405	25.0	34.2	7.14	104.5	8.20	3.28	3.65	4.41	3.78	0.152					4	1	0		
yes	yes	yes	no	no	55	R2RN	LLHS	JS	BB	CH	RHL	RHL190426	2001	Honolua Bay	2019-04-26	8:00	2	2	6	2	2					RHL190426	23.9	31.1	6.34	89.6	8.14	2.69	2.85	3.01	2.85	0.056					8	5	0	RHL - Heavy flowing stream	
yes	yes	yes	no	no	55	R2RN	LLHS	JS	BB	CH	RON	RON190426	2004	Oneloa Bay	2019-04-26	8:35	2	2	6	2	2					RON190426	25.0	35.9	6.81	101.0	8.19	0.71	0.62	0.67	0.67	0.068					2	5	0	RHL - Large boat 400' out	
yes	yes	yes	no	no	55	R2RN	LLHS	JS	BB	CH	RFS	RFS190426	2005	Kapalua Bay	2019-04-26	9:10	2	2	6	2	2					RFS190426	25.9	34.2	7.04	104.9	8.19	1.53	1.64	1.39	1.52	0.082					6	35	0	RKO - No stream flow	
yes	yes	yes	no	no	55	R2RN	LLHS	JS	BB	CH	RKO	RKO190426	2008	Ka'opala Bay	2019-04-26	9:31	2	2	6	2	2					RKO190426	25.0	34.7	6.66	98.0	8.14	8.46	8.96	8.68	8.70	0.029					1	0	0		
yes	yes	yes	no	no	55	R2RN	LLHS	JS	BB	CH	RKV	RKV190426	2074	Kahana Village	2019-04-26	9:53	2	2	6	2	2					RKV190426	25.4	34.9	7.13	105.7	8.21	9.45	8.83	8.31	8.86	0.064					0	0	0		
