Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2020	Canoe Beach	08/22/17	9:22											deg C	ppt	mg/L	%					Do not enter here - calculated			0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	no	no	42	R2RS	LLHS	TF	BJ	TM	RPO	RPO180717	2010	Pohaku	2018-07-17	8:35	2	1	3	2	2	5	2		Trades	RPO180717	26.2	33.0	6.20	92.1	8.08	1.87	2.47	2.28	2.21	0.139		0	3		8	19	0	no idea about rain in last 24 hours, 2 people within 10 ft of sampler, presumably in the water though not stated in notes
yes	yes	no	no	42	R2RS	LLHS	TF	BJ	TM	RKS	RKS180717	2071	Kaanapali Shores	2018-07-17	8:58	2	1	3	2	2	5			Trades	RKS180717	26.1	33.7	6.77	100.7	8.12	5.51	5.51	5.57	5.53	0.006		1	2		0	0	0	no idea about rain in last 24 hours. brown streaks out in the ocean. on right and left side of sample area brown streaks were 2-3 ft off shore and the brown streak straight out from sample area was about 50 ft off shore. a stream flows into the ocean north of the sample site and stream water was connected to the ocean. But flow direction of stream water was not easy to determine: Trades appeared to push stream surface toward ocean and ocean waves appeared to move upstream (CM). Stream water looked clear, not like the brown streaks observed in the ocean.
yes	yes	no	no	42	R2RS	LLHS	TF	BJ	TM	RCB	RCB180717	2020	Canoe Beach	2018-07-17	9:20	2	1	3	2	2	5	2		Trades	RCB180717	26.9	33.1	6.75	101.6	8.23	2.20	2.35	2.22	2.26	0.036		1	0		0	2	0	no idea about rain in last 24 hours
yes	yes	no	no	42	R2RS	LLHS	TF	BJ	TM	RWA	RWA180717	2021	Wahikuli	2018-07-17	9:32	2	1	3	2	2	5	0		Trades	RWA180717	27.0	33.7	6.56	99.3	8.17	1.73	1.70	1.62	1.68	0.034		0	0		1	0	0	no idea about rain in last 24 hours
yes	yes	no	no	43	R2RS	LLHS	TF	BJ	TM	RNS	RNS180807	2006	Napili Bay	2018-08-07	8:08	1	3	5	1	3	25	6		Trades	RNS180807	25.5	33.7	6.76	100.4	8.12	2.13	2.00	2.24	2.12	0.057		1	1	0	0	2	0	no idea about rain in last 24 hours
yes	yes	no	no	43	R2RS	LLHS	TF	BJ	TM	RPO	RPO180807	2010	Pohaku	2018-08-07	8:32	1	3	5	1	3	25	6		Trades	RPO180807	26.2	33.9	6.61	98.9	8.18	5.07	5.10	6.03	5.40	0.101		1	1	0	0	0	0	no idea about rain in last 24 hours
yes	yes	no	no	43	R2RS	LLHS	TF	BJ	TM	RKS	RKS180807	2071	Kaanapali Shores	2018-08-07	8:53	1	3	5	1	3	25	6		Trades	RKS180807	25.6	34.3	6.57	97.7	8.14	8.02	7.68	8.07	7.92	0.027		0	1		0	0	0	no idea about rain in last 24 hours
yes	yes	no	no	43	R2RS	LLHS	TF	BJ	TM	RCB	RCB180807	2020	Canoe Beach	2018-08-07	9:15	1	3	5	1	3	25	3		Trades	RCB180807	26.9	33.7	6.71	101.7	8.19	11.40	11.10	10.80	11.10	0.027		1	0		0	2	0	no idea about rain in last 24 hours, Kukui nuts from the stream causing bad smell/water conditions. strong shore break, low tide
yes	yes	no	no	43	R2RS	LLHS	TF	BJ	TM	RWA	RWA180807	2021	Wahikuli	2018-08-07	9:31	1	3	5	1	3	25	0		Trades	RWA180807	27.1	33.9	6.60	100.4	8.21	2.34	2.87	2.41	2.54	0.113		0	1		2	0	0	no idea about rain in last 24 hours. no waves, strong shore break
yes	yes	no	no	44	R2RS	LLHS	TF	BJ	AA	RNS	RNS180828	2006	Napili Bay	2018-08-28	8:12	2	1	6	2	2	18	7		Trades	RNS180828	26.4	33.2	6.65	99.5	8.13	1.62	1.46	1.69	1.59	0.074		0	1		4	4	0	it rained in the last 24 hours
yes	yes	no	no	44	R2RS	LLHS	TF	BJ	AA	RPO	RPO180828	2010	Pohaku	2018-08-28	8:35	2	1	6	2	2	18	6		Trades	RPO180828	26.8	31.8	6.49	96.9	8.19	2.23	3.18	2.58	2.66	0.180		0	2		0	0	0	it rained in the last 24 hours
yes	yes	no	no	44	R2RS	LLHS	TF	BJ	AA	RKS	RKS180828	2071	Kaanapali Shores	2018-08-28	8:55	2	1	6	2	2	18	4		Trades	RKS180828	26.7	29.7	6.64	97.9	8.15	13.60	15.60	16.60	15.27	0.100		0	3		0	0	0	it rained in the last 24 hours, brown water 100 yards
yes	yes	no	no	44	R2RS	LLHS	TF	BJ	AA	RCB	RCB180828	2020	Canoe Beach	2018-08-28	9:14	2	1	6	2	2	18	4		Trades	RCB180828	27.8	32.6	6.50	99.3	8.17	63.40	63.90	65.10	64.13	0.014		0	0		0	2	0	it rained in the last 24 hours, brown red water, lots of debris/kukui nuts
yes	yes	no	no	44	R2RS	LLHS	TF	BJ	AA	RWA	RWA180828	2021	Wahikuli	2018-08-28	9:32	2	1	6	2	2	18	4		Trades	RWA180828	27.5	32.6	6.62	100.6	8.24	1.32	1.57	1.46	1.45	0.086		0	0		0	0	0	it rained in the last 24 hours
yes	yes	no	no	45	R2RS	LLHS	TF	BJ	CM	RNS	RNS180918	2006	Napili Bay	2018-09-18	8:11	1	3	5	1	3	9	4	1	Trades	RNS180918	25.7	33.4	6.30	93.1	8.09	10.10	11.10	10.80	10.67	0.048		1	1		0	5	0	not sure if it rained in the last 24 hours, light sprinkles while there
yes	yes	no	no	45	R2RS	LLHS	TF	BJ	CM	RPO	RPO180918	2010	Pohaku	2018-09-18	8:39	1	3	5	1	3	9	2	0	Trades	RPO180918	26.5	32.6	6.41	95.8	8.19	5.02	4.91	4.43	4.79	0.066		0	1		0	2	0	not sure if it rained in the last 24 hours, sunny and no rain while there
yes	yes	no	no	45	R2RS	LLHS	TF	BJ	CM	RKS	RKS180918	2071	Kaanapali Shores	2018-09-18	8:57	1	3	5	1	3	9	1	0	Trades	RKS180918	25.8	34.3	6.36	94.7	8.14	7.38	7.58	7.21	7.39	0.025		1	1		0	5	0	not sure if it rained in the last 24 hours, sunny and no rain while there, water in channel but fairly clear, not much flow
yes	yes	no	no	45	R2RS	LLHS	TF	BJ	CM	RCB	RCB180918	2020	Canoe Beach	2018-09-18	9:18	1	3	5	1	3	9	1	0	Trades	RCB180918	27.6	34.3	6.38	97.9	8.19	7.81	7.85	7.59	7.75	0.018		1	0		0	6	0	not sure if it rained in the last 24 hours, sunny and no rain
yes	yes	no	no	45	R2RS	LLHS	TF	BJ	CM	RWA	RWA180918	2021	Wahikuli	2018-09-18	9:34	1	3	5	1	3	9	1	0	Trades	RWA180918	27.7	34.0	6.46	99.3	8.22	0.74	0.75	0.76	0.75	0.013		1	0		0	2	0	not sure if it rained in the last 24 hours, sunny and no rain
yes	yes	no	no	46	R2RS	LLHS	TF	BJ	TM	RNS	RNS181009	2006	Napili Bay	2018-10-09	8:20	2	1	6	2	2					RNS181009	26.9	33.5	6.65	100.5	8.14	11.00	12.00	12.50	11.83	0.065					2	2	0	2 inches stagnant water in nearby stream bed, no stream flow
yes	yes	no	no	46	R2RS	LLHS	TF	BJ	TM	RPO	RPO181009	2010	Pohaku	2018-10-09	8:44	2	1	6	2	2					RPO181009	26.7	32.5	6.49	97.3	8.17	4.07	4.13	4.30	4.17	0.029					0	8	0	batteries were replaced in turbidity meter, no stream flow
yes	yes	no	no	46	R2RS	LLHS	TF	BJ	TM	RKS	RKS181009	2071	Kaanapali Shores	2018-10-09	9:05	2	1	6	2	2					RKS181009	26.9	34.0	6.60	99.9	8.20	2.97	3.48	3.15	3.20	0.081					8	15	0	no stream flow into ocean, KS stream ocean water flowing into canal - greenish/brown water 1-2 feet high in canal
yes	yes	no	no	46	R2RS	LLHS	TF	BJ	TM	RCB	RCB181009	2020	Canoe Beach	2018-10-09	9:25	2	1	6	2	2					RCB181009	27.9	33.6	6.59	101.2	8.21	9.39	9.45	10.20	9.68	0.047					0	0	0	
yes	yes	no	no	46	R2RS	LLHS	TF	BJ	TM	RWA	RWA181009	2021	Wahikuli	2018-10-09	9:42	2	1	6	2	2					RWA181009	27.7	32.7	6.62	100.9	8.24	3.14	3.45	3.29	3.29	0.047					0	2	0	
yes	yes	no	no	47	R2RS	LLHS	TF	JS	CM	RNS	RNS181030	2006	Napili Bay	2018-10-30	8:13	1	3	5	1	3					RNS181030	27.4	34.2	6.38	97.6	8.13	1.45	1.67	1.46	1.53	0.081					5	4	0	
yes	yes	no	no	47	R2RS	LLHS	TF	JS	CM	RPO	RPO181030	2010	Pohaku	2018-10-30	8:38	1	3	5	1	3					RPO181030	27.6	34.2	6.37	97.8	8.18	7.40	7.68	7.65	7.58	0.020					0	5	0	3 canoes in water about 100 feet out
yes	yes	no	no	47	R2RS	LLHS	TF	JS	CM	RKS	RKS181030	2071	Kaanapali Shores	2018-10-30	8:59	1	3	5	1	3					RKS181030	27.4	34.4	6.41	98.3	8.14	3.83	3.83	4.02	3.89	0.028					1	1	0	light sprinkles of rain while sampling
yes	yes	no	no	47	R2RS	LLHS	TF	JS	CM	RCB	RCB181030	2020	Canoe Beach	2018-10-30	9:20	1	3	5	1	3					RCB181030	27.6	34.6	6.56	100.8	8.21	2.71	2.51	2.74	2.65	0.047					0	3	0	
yes	yes	no	no	47	R2RS	LLHS	TF	JS	CM	RWA	RWA181030	2021	Wahikuli	2018-10-30	9:36	1	3	5	1	3					RWA181030	27.4	34.4	6.58	100.7	8.23	3.76	3.81	3.52	3.70	0.042					0	0	0	strong steady winds (14-20 knots), 3-5 foot waves, and a high tide
	yes	no	no	48	R2RS	LLHS	TF	AA	BJ	RNS	RNS181127	2006	Napili Bay	2018-11-27	8:16	2	1	6	2	2					RNS181127	25.8	35.0	6.76	100.6	8.20	1.14	1.10	0.96	1.07	0.089				0	2	6	0	RNS - strong waves breaking at shore, high tides, clear, sunny, light winds, low-lying clouds - used new BD syringes and usual disposable 0.2 micron filters
	yes	no	no	48	R2RS	LLHS	TF	AA	BJ	RPO	RPO181127	2010	Pohaku	2018-11-27	8:43	2	1	6	2	2					RPO181127	25.2	34.4	6.79	99.8	8.17	47.50	48.30	48.20	48.00	0.009				0	16	1	0	RPO - high surf almost to highway, brown water close to shore. clear, no wind, clouds over Molokini - used new BD syringes and usual disposable 0.2 micron filters
	yes	no	no	48	R2RS	LLHS	TF	AA	BJ	RKS	RKS181127	2071	Kaanapali Shores	2018-11-27	9:03	2	1	6	2	2					RKS181127	26.2	34.9	6.70	100.3	8.23	2.72	3.04	3.09	2.95	0.068					1	8	0	RKS - a little brownish water - used old Medint syringes and usual disposable 0.2 micron filters
	yes	no	no	48	R2RS	LLHS	TF	AA	BJ	RCB	RCB181127	2020	Canoe Beach	2018-11-27	9:27	2	1	6	2	2					RCB181127	26.4	34.9	6.64	99.8	8.22	4.88	4.76	4.81	4.82	0.013					0	22	0	RCB - used old Medint syringes and usual disposable 0.2 micron filters
	yes	no	no	48	R2RS	LLHS	TF	AA	BJ	RWA	RWA181127	2021	Wahikuli	2018-11-27	9:44	2	1	6	2	2					RWA181127	26.3	34.9	6.71	100.7	8.24	2.32	2.22	2.43	2.32	0.045					2	0	0	RWA - water flat, no wind - used old Medint syringes and usual disposable 0.2 micron filters
	yes	no	no	49	R2RS	LLHS	TF	TM	BJ	RNS	RNS181211	2006	Napili Bay	2018-12-11	8:18	1	3	5	1	3					RNS181211	24.5	34.6	6.83	98.7	8.17	0.91	0.76	0.74	0.80	0.116		2		0	0	3	0	RNS - steady rain, 0 visibility of Molokai, waves shore break 3-5 feet
	yes	no	no	49	R2RS	LLHS	TF	TM	BJ	RPO	RPO181211	2010	Pohaku	2018-12-11	8:44	1	3	5	1	3					RPO181211	24.1	34.5	6.80	97.7	8.15	12.60	14.00	13.90	13.50	0.058		0		0	0	0	0	RPO - cloudy and rainbow, no rain, waves calm/flat
	yes	no	no	49	R2RS	LLHS	TF	TM	BJ	RKS	RKS181211	2071	Kaanapali Shores	2018-12-11	9:04	1	3	5	1	3					RKS181211	23.9	27.1	7.21	98.9	8.23	9.18	8.18	8.77	8.71	0.058		1			0	0	0	RKS - rainbow with sprinkles, low cloud over Lanai, no rain, waves 1-2 feet, windy, sunny, frequent swells
	yes	no	no	49	R2RS	LLHS	TF	TM	BJ	RCB	RCB181211	2020	Canoe Beach	2018-12-11	9:24	1	3	5	1	3					RCB181211	25.5	34.5	6.49	95.5	8.20	0.59	0.54	0.60	0.58	0.056					0	2	0	
	yes	no	no	49	R2RS	LLHS	TF	TM	BJ	RWA	RWA181211	2021	Wahikuli	2018-12-11	9:44	1	3	5	1	3					RWA181211	25.7	34.0	6.72	99.0	8.22	1.95	1.93	1.85	1.91	0.028					0	2	0	
